Line Code;Class;TAW PN;VEND PN;Description;Your Price;Jobber;MAP-CONFIRM W JOBBER;Core Price;Federal Excise Tax;Status Code;Oversize
S/B;SB6;S/B49517;49517;CONTOUR SPRT SEAT DEN SPC;192,5;278,99;278,99;;;R;N
S/B;SB6;S/B8015N;8015N;STANDARD RR SEAT DEN BLK;142,13;205,99;205,99;;;R;N
RUG;EXT;RUG11213.03;11213,03;Bug Screen 97-06 Jeep;37,2;55,52;49,99;;;R;N
...
